F,M,name,odds
46160,119,Jennifer,0.002571360660342704
38960,138,Lisa,0.003529592306511842
34142,114,Kimberly,0.0033278841662774403
34053,125,Michelle,0.003657323424425069
25212,63,Amy,0.002492581602373887
24924,83,Angela,0.00331907066021514
23743,70,Melissa,0.0029395708226598915
19586,87,Tammy,0.004422304681543232
19201,99,Mary,0.005129533678756477
18467,1774,Tracy,0.0876438911120992
17162,48,Julie,0.002789076118535735
16702,48,Karen,0.002865671641791045
16496,53,Laura,0.0032026104296332104
16059,43,Christine,0.0026704757173021984
15741,52,Susan,0.0032925979864496927
15679,43,Dawn,0.0027350209896959674
15390,61,Stephanie,0.0039479645330399325
15120,67,Elizabeth,0.004411667873839468
14668,43,Heather,0.0029229828019849092
14609,2498,Kelly,0.14602209621792248
13867,43,Tina,0.0030913012221423434
13548,2572,Shannon,0.15955334987593053
13444,40,Lori,0.0029664787896766538
13404,71,Patricia,0.005269016697588126
12921,53,Cynthia,0.004085093263449977
12915,51,Pamela,0.003933364183248496
11242,54,Sandra,0.0047804532577903685
11101,42,Wendy,0.0037691824463788924
10859,29,Rebecca,0.00266348273328435
10692,51,Nicole,0.004747277296844457
10096,70,Michele,0.006885697422781821
9970,35,Donna,0.0034982508745627187
9852,28,Deborah,0.002834008097165992
9607,37,Teresa,0.0038365823309829948
9587,39,Christina,0.004051527114066071
9343,33,Denise,0.0035196245733788395
9174,55,Sharon,0.0059594755661501785
8737,39,Linda,0.004443938012762078
8658,62,Maria,0.0071100917431192664
8335,20,Brenda,0.0023937761819269898
8025,24,Barbara,0.002981736861721953
7775,1183,Stacy,0.13206072784103595
7705,142,Andrea,0.018096087676819167
7440,24,Cheryl,0.003215434083601286
7410,23,Kathleen,0.0030943091618458227
7383,22,Rhonda,0.002970965563808238
7200,22,Debra,0.0030462475768485184
7155,689,Stacey,0.08783783783783784
7140,30,Tonya,0.0041841004184100415
7065,27,Nancy,0.0038071065989847717
7002,612,Robin,0.08037825059101655
6807,25,Jill,0.003659250585480094
6409,1039,Dana,0.13950053705692803
6408,27,Theresa,0.004195804195804196
6231,370,Tracey,0.05605211331616422
6185,33,Monica,0.005307172724348665
6051,22,Paula,0.0036225917997694712
6032,20,Rachel,0.003304692663582287
6008,20,Catherine,0.0033178500331785005
5914,26,Sherry,0.004377104377104377
5877,20,Gina,0.003391555027980329
5736,25,Ann,0.004339524388127061
5637,69,Kristin,0.012092534174553101
5621,1013,Leslie,0.15269822128429303
5621,16,Sarah,0.0028383892141209863
5579,15,Jacqueline,0.002681444404719342
5445,16,Katherine,0.0029298663248489287
5373,43,Renee,0.00793943870014771
5334,22,Tara,0.004107542942494399
5186,24,Diane,0.004606525911708253
5066,26,Carol,0.005106048703849175
5048,18,Cindy,0.0035530990919857876
4975,20,Carrie,0.004004004004004004
4938,13,Holly,0.0026257321753181176
4938,10,Sheila,0.002021018593371059
4865,19,Tanya,0.0038902538902538903
4798,12,Kathy,0.002494802494802495
4725,316,Kim,0.06268597500495933
4722,12,Tamara,0.0025348542458808617
4707,18,Margaret,0.0038095238095238095
4644,16,Heidi,0.0034334763948497852
4602,16,April,0.0034647033347769596
4602,47,Kristen,0.0101097010109701
4519,13,Carolyn,0.0028684907325684027
4460,22,Victoria,0.0049085229808121375
4435,18,Regina,0.004042218728946777
4428,9,Suzanne,0.002028397565922921
4392,18,Laurie,0.004081632653061225
4374,16,Diana,0.0036446469248291574
4331,13,Deanna,0.002992633517495396
4331,13,Melanie,0.002992633517495396
4248,12,Beth,0.0028169014084507044
4225,11,Melinda,0.0025967894239848914
4213,16,Carla,0.003783400331047529
4184,42,Jodi,0.009938476100331283
4158,10,Janet,0.0023992322456813818
4133,13,Valerie,0.003135552339604438
4022,15,Jessica,0.003715630418627694
4000,14,Tiffany,0.003487792725460887
3855,17,Traci,0.004390495867768595
3818,10,Crystal,0.002612330198537095
3793,21,Anna,0.00550603041426324
3751,38,Shelly,0.010029031406703616
3716,11,Kathryn,0.0029514354708881137
3714,28,Christy,0.0074826296098343134
